username,comment,comment_time,like_counts
CHANGINGUNLIMiTED,每次听都会给我带来意想不到的好运 希望这首歌也可以上我的生活变得不一样,昨天16:46,(0)
烁亦念,你总是出现在我的梦中,昨天16:39,(0)
烁亦念,“前奏”有点长 你愿意等嘛.,昨天16:38,(0)
丹恒aaaa,组织我也玩,昨天16:37,(0)
雪花小若,笑死我了我也是,昨天16:33,(0)
焉知风月zWz,新年快乐,昨天16:32,(1)
云村村民169611941945511,还记得2018夏天那几个在屋玩和平的 人,昨天16:24,(3)
haouuu-,take my hand,昨天16:24,(2)
失去梦想的清明,这歌一出就想起小时候,昨天16:20,(0)
是我_tvYZ,因为我知道她并不是向着我的,昨天16:15,(0)
是我_tvYZ,来 俩次 全是我删的 亲手删的,昨天16:14,(0)
水下月水下月,巧了,昨天16:10,(1)
1好运伴呈,哇厉害厉害,昨天16:02,(1)
1烦我总失眠-,擦不完的眼泪 点根烟 自己走.,昨天16:02,(1)
寒酥甘霖,来哩,昨天16:01,(0)
1烦我总失眠-,1111,昨天16:01,(0)
1烦我总失眠-,迷你世界,昨天16:00,(1)
北海菊,兄弟你好香,昨天15:59,(2)
夜凪_neverback,让我看看都有谁是手机进水的,昨天15:59,(0)
葫芦娃Flora,居然看到这么多一样的，是真的有效果,昨天15:54,(0)
独山樾和戾仲行,没有光遇组织的吗[多多大哭],昨天15:51,(0)
我心中的张先生,嗯哼,昨天15:35,(0)
传说中的系统,哈哈哈，我去年是摇着飞花手进去的你可以学一下反正人设一下子就立住了，新同学对我的印象只有一个，啊，这不就是那个花手姐吗？,昨天15:34,(0)
吉良家的猫猫,你出现在我的梦中,昨天15:32,(2)
独揽琼海,会说，点了,昨天15:30,(1)
独揽琼海,加油啊!一定要平平安安回来，不回来你女朋友就别别人抢走了,昨天15:29,(1)
传说中的系统,人生就俩字 啥掉,昨天15:29,(0)
x翾x,第五人格,昨天15:27,(0)
诀别那年夏季,最爱,昨天15:27,(1)
永爱符华小识,过了七月就没机会了啊,昨天15:24,(0)
Vella无感,巧了,昨天15:23,(0)
Rosy_KSng,恭喜^ω^,昨天15:22,(0)
哲的网抑芸,ttkx,昨天15:19,(1)
羊Yjji,真有用吗,昨天15:17,(0)
幻羽文少,想到了，便到了，世间之事，缘之一字，玄妙，玄妙，可意而不可言。,昨天15:05,(0)
回忆难抹去-,喵喵喵,昨天15:03,(0)
珍珠小pig,OK,昨天15:02,(0)
凌云瞮,光遇,昨天14:53,(1)
鸡好滴v,metoo……[多多捂脸],昨天14:51,(0)
兔头食用手册,手机进水充不进电的集合👈,昨天14:43,(5)
7_小依靠--,四个字 天天开心.,昨天14:41,(1)
異臺,在,昨天14:38,(0)
異臺,一下雨天一潮就充不进去电,昨天14:37,(1)
那我睡觉,这首歌让我梦回2018,昨天14:36,(1)
鶴烟阿,我的世界 皇室战争 光遇,昨天14:32,(0)
陆铭安,流再多泪又有什么用 怎么也换不来你的一份真诚,昨天14:31,(0)
张润泽2303,接,昨天14:30,(0)
陆铭安,昏黄的路灯下 我们也曾紧紧相拥过可你的不为所动我凉透了心,昨天14:30,(1)
本是惊鸿一瞥,这梦已经做了三年 我本早已忘怀,昨天14:27,(0)
随风而行kybkq,开放式结局，肯定是美好的,昨天14:03,(1)
一坨小蛋糕888,小时候一直在玩迷你世界┭┮﹏┭┮,昨天13:54,(0)
狗蛋够胆888,你还好吗,昨天13:23,(0)
王朱羽,哈哈哈哈哈，结局是怎么样的,昨天13:19,(1)
你和我幸福吗,好啊 好好的爱自己吧,昨天13:14,(0)
xy王者先生,所以听前奏的时候一直觉得好压抑[多多捂脸],昨天13:04,(0)
青鸟草洛,流萤？原来是这样。[多多捂脸],昨天13:00,(0)
雾界海,第五人格,昨天13:00,(0)
上帝的苦力怕,我的世界,昨天13:00,(0)
八喜JJ,+1,昨天13:00,(0)
纫谬,我的世界!启动,昨天12:43,(1)
安和桥最后一句,吉吉国王,昨天12:39,(0)
安和桥最后一句,号被盗了,昨天12:38,(0)
随风而行kybkq,啊😦？我很正常的，我不是南通,昨天12:33,(1)
随风而行kybkq,哈哈😊,昨天12:32,(1)
Felicity0327,怎么哭了小大人 最近不顺利吗,昨天12:31,(1)
